name,totals,nums,channel,Brand
光泉 頂級鮮奶優酪莓果穀物脆片 130gx2入 2022-11-05 ye59-j0ki,80,1,momo,光泉
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-04-12 e0xv-eqcc,80,1,momo,光泉
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-04-09 k7yc-pfz5,80,1,momo,光泉
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-05-08 e0xv-iu8e,80,1,momo,光泉
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-04-20 rfgc-dhp8,80,1,momo,光泉
光泉 頂級鮮奶優酪莓果穀物脆片 130gx2入 2022-09-09 f8w3-ffrb,80,1,momo,光泉
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-04-03 r8gm-8fcn,80,1,momo,光泉
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-08-18 k7yc-jyi8,80,1,momo,光泉
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-02-04 o4ti-jypi,80,1,momo,光泉
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-05-05 ec4p-263s,80,1,momo,光泉
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-08-11 e6cp-fybl,80,1,momo,光泉
光泉 頂級鮮奶優酪莓果穀物脆片 130gx2入 2022-09-15 k7yc-hwxq,80,1,momo,光泉
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-04-21 k7yc-cqc7,80,1,momo,光泉
光泉 頂級鮮奶優酪莓果穀物脆片 130gx2入 2022-09-04 ye59-ud5e,80,1,momo,光泉
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-02-16 k7yc-xbh9,80,1,momo,光泉
光泉 頂級鮮奶優酪莓果穀物脆片 130gx2入 2022-10-21 ye59-4675,80,1,momo,光泉
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-03-03 d5os-o6lk,80,1,momo,光泉
義美 芝麻燕麥多穀物蘇打餅乾(270g/盒)(270g/盒)[大買家],79,1,momo,義美
【蝦幣10倍送‼️我超便宜】單隻✨雀巢 纖怡巧克力穀物棒 可可脆片穀物棒 巧克力穀物棒 早餐棒 燕麥 穀物 小麥 巧克力,78,1,momo,雀巢
義美大燕麥多穀物蘇打餅乾,77,2,momo,義美
代收代付 - GRANOLA HOUSE 燕麥脆米花 4包組 [32g/包] 脆米花 穀物 益生菌,76,1,momo,GRANOLA HOUSE
光泉 頂級鮮奶優酪莓果穀物脆片 130g*2,72,1,momo,光泉
⭐好市多代購現貨⭐ Nature Valley 天然谷 燕麥棒 穀物棒 營養棒 蜂蜜 / 楓糖 / 黑巧克力(良品小倉),72,1,momo,天然谷
光泉舊果穀物脆片,70,2,momo,福樂
光泉鮮奶優格(莓果穀物脆片),70,2,momo,福樂
鮮奶優酪莓果穀物脆片,70,2,momo,福樂
AG堅果穀物燕麥脆片-藍莓枸杞40g,70,1,momo,AG
義美芝麻燕麥多穀物蘇打餅乾270g/盒  【大潤發】,67,1,momo,義美
AmazinGraze馬來西亞堅果穀物燕麥脆片-香蕉蜂蜜 (40g/包),66,1,momo,Amazin graze
《義美》芝麻燕麥多穀物蘇打餅乾(270g/盒)(270g/盒),66,1,momo,義美
光泉頂級鮮奶優酪莓果穀物脆片 130g*2 2022-03-14 ye59-xqej,63,1,momo,光泉
小杯穀物脆片優格,50,1,momo,福樂
＜北站鳥園＞燕麥 / 寵物鳥、鸚鵡用 / 分裝飼料 / 營養穀物,40,1,momo,北站鳥園
光泉鮮奶優酪莓果穀物脆片130g,40,1,momo,光泉
芝麻燕麥多穀物酥打,39,1,momo,福樂
光泉頂級鮮奶優格－莓果穀物脆片,35,1,momo,光泉
光泉鮮奶優格苺果穀物脆片,35,1,momo,光泉
卡路里燕麥穀物棒250g,30,1,momo,卡路里
可可穀物脆片,25,1,momo,福樂
蜂蜜星星穀物脆片,23,1,momo,福樂
美祿可可球穀物脆片,23,1,momo,福樂
雀巢 玉米脆片穀物棒20g單條(黃圖白色包裝)  穀物棒 玉米脆片 點心棒 隨手包點心 早餐脆片 天天出,23,1,momo,雀巢
